SN Name,Host Galaxy,SN Ra,SN Dec,Host Ra,Host Dec,Host Ra from PS,Host Dec from PS,g mag, r mag ,East Offset,North Offset,Separation,Angle,Observation,Finding chart with SN,Finding chart without SN,,
ATLAS16dpb,CGCG_415-40,02:57:34.02',+05:58:41.30',02:57:33.667',+05:58:36.92',02:57:33.665,+05:58:37.05,13.168,12.951,-5.3,-4.25,6.79,231.25,01/13/18-KAST,,,-,
2017dfu,LEDA 897432,08:19:09.20,-16:29:44.5,08:19:09.1,-16:29:40,,,,16.6,-1.44,4.50,4.72,342.28,01/13/18-KAST,,,,
SN2017mu,GALEXASC J093036.72+212437.4,09:30:36.58,+21:24:42.32,09:30:36.72,+21:24:37.4,09:30:36.63,+21:24:39.39,18.3,17.9,0.69,-2.92,3.01,166.60,01/13/18-KAST,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57788/1093036591212442500_57788.546_80852107_86_targetfinder.jpeg,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57788/1093036591212442500_57788.558_80854147_91_reffinder.jpeg,,
PS17tn,2MASX J09431321+4118581,09:43:13.64,+41:19:02.2,09:43:13.21,+41:18:58.60,,,17.54,16.638,-4.84,-3.60,6.04,233.38,01/13/18-KAST,,,,
ATLAS17bas,SDSS J110735.45+225104.1,11:07:35.49,+22:51:4.57,11:07:35.458,+22:51:04.20,,,17.648,17.585,-0.44,-0.37,0.58,230.09,01/13/18-KAST,,,,
ASASSN-17fx,2MASX J12314373+3612331,12:31:43.688,+36:12:34.93,12:31:43.73,+36:12:33.1,,,17.896,17.019,0.51,-1.83,1.90,164.48,01/13/18-KAST,,,,
2017glq,IC208,02:08:28.00,+06:23:16.60,02:08:27.74,+06:23:41.7,,,13.5,13.1,-3.88,25.10,25.40,351.22,01/14/18-LRIS,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/58026/1020827961062316500_58026.529_86402773_1_targetfinder.jpeg,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/58026/1020827961062316500_58026.529_86402779_0_reffinder.jpeg,,
2017hju, NGC 974,02:34:26.22,+32:56:14.34,02:34:26.198,+32:56:14.06,,,20.0,19.8,-0.28,-0.28,0.39,224.69,01/14/18-LRIS,,,,
2017hoo,GALEXASC J032955.28-181741.7,03:29:55.18,-18:17:39.51,03:29:55.30,-18:17:43.4,,,20.2,19.4,1.71,-3.89,4.25,156.28,01/14/18-LRIS,,,,
ASASSN-15pn,SDSS_J040326.23-052930.6,04:03:26.32',-05:29:31.30',04:03:26.23',-05:29:30.6',04:03:26.232,-05:29:30.70,18.29,18.172,-1.31,0.60,1.44,294.54,01/14/18-LRIS,,,-,
PS15mt,SDSS_J095444.27+231151.6,09:54:44.17,+23:11:53.1,09:54:44.27,+23:11:51.6,09:54:44.278,+23:11:51.70,20.3,19.95,1.49,-1.40,2.04,133.23,01/14/18-LRIS,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57096/1095444171231153100_57096.288_41276596_61_targetfinder.jpeg,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57096/1095444171231153100_57096.288_41276603_70_reffinder.jpeg,-,
ATLAS17jxd,SDSS J011146.82+072145.9,01:11:46.90,+07:21:46.78,01:11:46.82,+07:21:45.9,,,,20.75,-1.19,-0.88,1.48,233.52,01/15/18-LRIS,,,,
2016htm,Uncertain (2MASX J02320134-2639576),02:32:02.62,-26:39:57.29,02:32:01.3 ,-26:39:57,,,19.456,18.7,-17.69,0.29,17.70,270.94,01/15/18-LRIS,,,,
ASASSN-15ss,MCG_-02-16-004,06:12:33.398',-14:15:26.94',06:12:34.86',-14:15:28.01',06:12:34.804,-14:15:27.90,17.49,16.724,20.44,-0.96,20.46,92.69,01/15/18-LRIS,,,-,
ATLAS17dzg,SDSS J090834.64+483625.9,09:08:34.75,+48:36:26.06,09:08:34.64,+48:36:25.9,,,19.575,19.162,-1.09,-0.16,1.10,261.66,01/15/18-LRIS,,,,
PS16ez,SDSS_J092426.62+051018.1,09:24:26.46',+05:10:14.6',09:24:26.62',+05:10:18.1',09:24:26.627,+05:10:18.23,19.122,18.585,2.49,3.63,4.4,34.5,01/15/18-LRIS,,,-,
2017hjy,SDSS J023602.15+432817.6,02:36:02.56,+43:28:19.51,02:36:02.15,+43:28:17.6,,,16.1,15.6,-4.46,-1.91,4.85,246.83,01/23/2018-KAST,,,,
ASASSN-16et,2MASX_J10200192+5627397,10:20:01.721',+56:27:39.74',10:20:01.92',+56:27:39.7',10:20:01.801,+56:27:40.15,18.572,18.43,0.66,0.41,0.78,58.27,01/23/2018-KAST,,,-,
ASASSN-17at,2MASX J11383367+2523532	,11:38:33.662	,+25:23:50.17	,11:38:33.67	,+25:23:53.2	,,,18.312,17.892,0.11,3.03,3.03,2.05,01/23/2018-KAST,,,,
ASASSN-16hc,2MASX_J13590394+3308172,13:59:04.456',+33:08:20.30',13:59:03.94',+33:08:17.2',13:59:03.946,+33:08:17.70,17.337,16.692,-6.41,-2.60,6.91,247.91,01/23/2018-KAST,,,-,
2016htn,Anonymous (2MASX J02112819-1630409),02:11:29.07,-16:30:37.17,02:11:28.2 ,-16:30:41,,,16.18,17.906,-12.51,-3.83,13.08,252.98,01/26/20-LRIS,https://star.pst.qub.ac.uk/ps1threepi/psdb/candidate/1022313190043101900/,,,
2016hpx,???,06:03:16.66,-26:53:54.82,-,-,06 03 16.428,-26 53 54.73,-,19.6,-3.1,0.09,3.1,271.66,01/26/20-LRIS,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57766/1060316660265354900_57766.371_80143795_121_targetfinder.jpeg,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57766/1060316660265354900_57766.382_80145450_93_reffinder.jpeg,-,
2017jet,2MASX J08362270+8141217,08:37:00.96,+81:41:42.50,08:37:00.959,+81:41:44.42,08:37:00.959,+81:41:44.42,,20.2,0.00,1.92,1.92,359.94,01/26/20-LRIS,,,,
AT2017wb,2MASX J11011991+7039548,11:01:19.53,+70:39:54.76,11:01:19.92,+70:39:55.0,,,18.3,17.96,1.94,0.24,1.95,82.94,01/26/20-LRIS,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57795/1110119521703953600_57795.464_80985463_35_targetfinder.jpeg,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57795/1110119521703953600_57795.479_80987309_29_reffinder.jpeg,,
2018pj,2MASX J07103280+3238411,07:10:31.73,+32:38:46.43,07:10:32.80,+32:38:40.8,,,17.8,17.2,13.51,-5.63,14.64,112.61,01/27/17-KAST,,,,
2018ha,2MASX J09112252+2351285,09:11:22.99,+23:51:28.45,09:11:22.545,+23:51:28.51,,,16.7,16,-6.10,0.06,6.10,270.56,01/27/17-KAST,,,,
2016afk,SDSS_J102229.86+150547.0,10:22:29.90',+15:05:47.73',10:22:29.86',+15:05:47.0',10:22:29.875,+15:05:47.03,18.532,18.141,-0.36,-0.70,0.79,207.35,02/06/18-KAST,,,-,
SN2017ms,SDSS J102641.99+364053.2,10:26:42.35,+36:40:50.62,10:26:41.99,+36:40:53.2,,,19.68,19.35,-4.57,2.58,5.25,299.44,02/06/18-KAST,,,,
PS16aer,CGCG_095-067,10:54:58.19',+14:16:17.7',10:54:58.85',+14:16:17.87',10:54:58.851,+14:16:17.83,18.678,17.728,9.61,0.13,9.61,89.22,02/06/18-KAST,,,-,
2017dfq,NGC 3506,11:03:13.00,+11:04:40.87,11:03:12.971,+11:04:36.03,,,17.401,16.596,-0.43,-4.84,4.86,185.04,02/06/18-KAST,,,,
ATLAS17ajs,KUG 1125+276,11:27:54.52,+27:20:44.7,11:27:55.245,+27:20:49.28,,,19.18,18.843,9.66,4.58,10.69,64.63,02/06/18-KAST,,,,
SN2016coj,NGC_4125,12:08:06.80',+65:10:37.9',12:08:06.01',+65:10:26.90',12:08:05.884,+65:10:27.57,13.269,12.246,-5.77,-10.33,11.83,209.18,02/06/18-KAST,,,-,
SN2017hn,UGC 8204,13:07:39.46,+6:20:14.6,13:07:39.4,+06:20:09,,,13.267,13.232,-0.89,-5.60,5.67,189.08,02/06/18-KAST,,,,
PS17ckg,SDSS J131621.63+274137.1,13:16:21.60,+27:41:35.30,13:16:21.63,+27:41:37.1,,,18.98,18.62,0.40,1.80,1.84,12.48,02/06/18-KAST,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57859/1131621591274135300_57859.508_82574763_44_targetfinder.jpeg,https://star.pst.qub.ac.uk/sne/ps13pi/site_media/images/data/ps13pi/57859/1131621591274135300_57859.520_82575674_46_reffinder.jpeg,,
