,,,,,,#,%,,,,,,,,,,,,,,,,,,,
,,,,observed already,,148,52.11267606,,,,,,,,,,,,,,,,,,,
,,,,SOAR target  (below -25 dec),,43,15.14084507,,,,,,,,,,,,,,,,,,,
,,,,Unsure of host,,8,2.816901408,,,,,,,,,,,,,,,,,,,
,,,,To be observed as part of Foundation (above dec -30),,25,8.802816901,,,,,,,,,,,,,,,,,,,
,,,,Lick/Keck target (above -30 dec),,60,21.12676056,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,284,100,"292 total, discrepancy due to different colors",,,,,,,,,,,,,,,,,,
,Redshift,Alt. name,Has Template?,Host Galaxy,SN Ra,SN Dec ,Host RA,Host Dec,Discovery date,Days since disc.,Redshift Source,Host RA from PS,Host Dec from PS,g mag,V mag,r mag,East offset,North offset,Separation ('),Position Angle,Date Observed / Instrument,Finding Chart with SN,Finding Chart without SN,Comments,,
ASASSN17fr,0.012,2017dps,N,IC 4296   ,13:36:40.4,-33:58:01.129,13:36:39.03,-33:57:57.00,2017-05-01,1089,NED,,,,12.16,10.74,-17.04,4.13,17.54,283.62,,http://www.astronomy.ohio-state.edu/~assassin/followup/asassn-17fr.png,,,,
2020ue,0.003,,N,,12:42:46.765,+02:39:34.25,,,2020-01-12,103,NED,12:42:49.832,+2:41:15.885,11.16,,11.03,45.95,101.64,111.54,24.33,,,,large offset,,
AT2017fzw,0.0054,,Y,NGC 2217 (PSO J062139.751-271401.652),06:21:34.77,-27:12:53.51,06:21:39.78,-27:14:01.5,2017-08-09,989,NED,,,11.34,,11.123,66.44,-67.99,95.33,135.66,,,https://wis-tns.weizmann.ac.il/object/2017fzw,,,
2018htt,0.008673,,N,NGC 1209 (PSO J030602.980-153640.102),03:06:02.90,-15:36:41.69, 03:06:03.02,-15:36:40.5,2018-10-31,541,NED,3:06:03,-15:36:40,12.12,,11.26,1.73,1.19,2.10,55.53,,,http://skyserver.sdss.org/dr15/en/tools/chart/navi.aspx?opt=G&ra=46.5120969&dec=-15.6115806&scale=0.1981,,,
AT2017guh,0.015427,,P,Foundation,05:03:13.14,-22:49:59.16,,,2017-09-18,949,NED,,,,,12.45,,,,,,http://www.astronomy.ohio-state.edu/~assassin/followup/asassn-17mh.png,,,,
2018aqi,0.012509,,Y,NGC 3393 (PSO J104823.469-250943.413),10:48:25.36,-25:09:35.82,10:48:23.46,-25:09:43.4,2018-04-06,749,NED,10 48 23.465,-25 09 43.45,,,12.567,-25.73,-7.63,26.84,253.48,,http://www.astronomy.ohio-state.edu/~assassin/followup/asassn-18hb.png,,,,
2018djd,0.026385,,N,NGC 0863,02:14:33.83,-00:45:56.77,02:14:33.562,-00:46:00.09,2018-07-12,652,NED,,,13.62,,12.9,-4.02,-3.32,5.21,230.45,,http://www.astronomy.ohio-state.edu/assassin/followup/asassn-18pb.png,,,,
2018hfp,0.029,,N,MCG -03-53-015 / PSO J205947.547-163816.352,20:59:47.84,-16:38:12.66,20:59:47.54,-16:38:16.5,2018-10-07,565,NED,20:59:47.547,-16:38:16.470,13.243,,13.121,-4.21,-3.81,5.68,227.86,,http://www.astronomy.ohio-state.edu/assassin/followup/asassn-18xm.png,,,,
2020clq,0.015007,,N,NGC 1613 ,04:33:25.557,-04:15:56.97,04:33:25.332,-04:15:55.50,2020-02-14,70,NED,4:33:25,-4:15:56,13.425,,13.229,-3.37,1.47,3.67,293.59,,,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=68.3564874-4.26582465&filter=color,,,
