Name,PS1 Obs 1 Date,Date Row Last Modified,Aliases,Host Galaxy,SN RA,Dec (2000),Host RA,Host Dec (2000),"Host Galaxy Mag
(approx.)",Redshift position,Redshift origin,Heliocentric Redshift,Uncertainty,Original Reported Redshift,"Redshift 
Difference","Max light
(in Found_fits.fitres)",Good Spec @max?,Spectra Taken (dates),Kyle has SN spec?,Kyle has host spec?,Useful Link,Link to Spectroscopic Report,Notes,
2018crn,2018-06-23,2018-08-17,"ZTF18aazsabq, ATLAS18qxb, PS18ayv",Anonymous,18:55:21.84,+56:35:18.14,,,,SN Lines,SNID - ZTF(spectra not available),0.0500000,,0.0500000,,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018crn,https://wis-tns.weizmann.ac.il/object/2018crn,,
2018ctv,2018-06-23,2018-08-17,ASASSN-18nt,NGC 541/Abell 0194,01:25:52.03,-01:22:01.65,01:25:40.8,-01:24:26,,Uncertain,2014MNRAS.438.2341P,0.0180000,,0.0180000,0,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018ctv,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=132351&objname=ABELL%200194&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Position and redshift of host is given for Abell 0194,
2018cqw,2018-06-21,2018-08-17,ASASSN-18na,CGCG 113-034,18:17:32.21,+19:26:40.49,18:17:32.2,+19:26:40,,Systemic,Updated Zwicky Catalog,0.0097730,0.0001800,0.0098430,0.00007,,,2018-06-19,yes,no,https://wis-tns.weizmann.ac.il/object/2018cqw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=46011&objname=CGCG%20113-034&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cnw,2018-06-17,2018-08-15,"ZTF18abauprj, ATLAS18qpy, Gaia18buh, PS18bbw",NGC 6279,16:59:05.07,+47:14:11.12,16:59:01.427,+47:14:13.76,,Systemic,Updated Zwicky Catalog,0.0241670,0.0001670,0.0280000,0.003833,,,2018-06-15,yes,no,https://wis-tns.weizmann.ac.il/object/2018cnw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=44114&objname=NGC%206279&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cmk,2018-06-16,2018-08-14,"ASASSN-18mk, ZTF18aazgfkq, Gaia18bwx",UGC 6609,11:38:29.86,+20:31:44.26,11:38:29.465,+20:31:39.77,,Systemic,1998AJ....116.1573B,0.0257240,0.0000900,0.0257240,0,,,2018-06-13,yes,no,https://wis-tns.weizmann.ac.il/object/2018cmk,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=27277&objname=UGC%2006609&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cdt,2018-06-09,2018-08-14,"ZTF18aaxdrjn, Gaia18bmm, PS18aeq, ATLAS17amj",MCG +9-20-146,12:20:01.67,+56:09:31.88,12:20:01.505,+56:09:46.46,,Host Nucleus,SDSS DR13,0.0339140,0.0000110,0.0339000,0.000014,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018cdt,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=30020&objname=MCG%20%2B09-20-146&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cfa,2018-06-06,2018-08-15,"SNhunt381, ATLAS18qjx, ZTF18aaxsioa, Gaia18bpp, PS18aeu",SDSS J164940.78+452949.0,16:49:39.12,+45:29:32.64,16:49:40.8,+45:29:49,,SN Lines,SNID - ZTF(spectra not available),0.0300000,,0.0300000,0,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018cfa,https://wis-tns.weizmann.ac.il/object/2018cfa,,
2018ced,2018-06-05,2018-08-14,"ATLAS18qef, ZTF18aaxcfbt",SDSS J105827.19+514144.1,10:58:27.09,+51:41:44.66,10:58:27.191,+51:41:44.13,,Host Nucleus,SDSS DR13,0.0681110,0.0000180,0.0689000,0.000789,,,2018-06-08,yes,no,https://wis-tns.weizmann.ac.il/object/2018ced,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=7822001&objname=SDSS%20J105827.19%2B514144.1&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018bwq,2018-05-24,2018-08-14,SMT18iy,2MASX J21291210-2909468,21:29:11.76,-29:09:46.19,21:29:12.07,-29:09:46.5,,Systemic,6dF Survey,0.0841180,0.0001830,0.0840000,0.000118,,,2018-05-11,yes,no,https://wis-tns.weizmann.ac.il/object/2018bwq,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3891571&objname=2MASX%20J21291210-2909468&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018but,2018-05-21,2018-08-14,ATLAS18pns,2MASX J14344616-1925146,14:34:47.01,-19:25:31.34,14:34:46.219,-19:25:15.39,,Systemic,6dF Survey,0.0484340,0.0000830,0.0480000,0.000434,,,2018-05-22,yes,no,https://wis-tns.weizmann.ac.il/object/2018but,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=317001&objname=2MASX%20J14344616-1925146&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
